Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
Pacific,2,DJF,3,400.000000,0,4,2,5498100,0.000000,1.000000,0.000000,-0.000000
Pacific,2,DJF,3,450.000000,0,4,2,5498100,0.000000,1.000000,0.000000,-0.000000
Pacific,2,DJF,3,500.000000,0,4,1,5498100,0.000000,1.000000,0.000000,-0.000000
Pacific,2,DJF,3,600.000000,0,4,1,5498100,0.000000,1.000000,0.000000,-0.000000
Pacific,2,DJF,3,700.000000,0,4,0,5498100,0.000000,NaN,0.000000,0.000000
Pacific,2,MAM,4,25.000000,7,1,2188,5528283,0.875000,0.996811,0.003188,0.003186
Pacific,2,MAM,4,50.000000,6,2,936,5528283,0.750000,0.993631,0.006356,0.006354
Pacific,2,MAM,4,75.000000,5,3,526,5528283,0.625000,0.990584,0.009363,0.009362
Pacific,2,MAM,4,100.000000,5,3,327,5528283,0.625000,0.984940,0.014925,0.014924
Pacific,2,MAM,4,150.000000,4,4,152,5528283,0.500000,0.974359,0.025000,0.024999
Pacific,2,MAM,4,200.000000,2,6,59,5528283,0.250000,0.967213,0.029851,0.029849
Pacific,2,MAM,4,250.000000,1,7,13,5528283,0.125000,0.928571,0.047619,0.047618
Pacific,2,MAM,4,300.000000,1,7,5,5528283,0.125000,0.833333,0.076923,0.076922
Pacific,2,MAM,4,350.000000,0,8,2,5528283,0.000000,1.000000,0.000000,-0.000000
Pacific,2,MAM,4,400.000000,0,8,1,5528283,0.000000,1.000000,0.000000,-0.000000
Pacific,2,MAM,4,450.000000,0,8,0,5528283,0.000000,NaN,0.000000,0.000000
Pacific,2,MAM,4,500.000000,0,8,0,5528283,0.000000,NaN,0.000000,0.000000
Pacific,2,MAM,4,600.000000,0,8,0,5528283,0.000000,NaN,0.000000,0.000000
Pacific,2,MAM,4,700.000000,0,8,0,5528283,0.000000,NaN,0.000000,0.000000
Pacific,2,All,5,25.000000,11,5,5226,21691113,0.687500,0.997900,0.002098,0.002098
Pacific,2,All,5,50.000000,10,6,2234,21691113,0.625000,0.995544,0.004444,0.004444
Pacific,2,All,5,75.000000,9,7,1203,21691113,0.562500,0.992574,0.007383,0.007382
Pacific,2,All,5,100.000000,8,8,715,21691113,0.500000,0.988935,0.010944,0.010943
Pacific,2,All,5,150.000000,6,10,308,21691113,0.375000,0.980892,0.018519,0.018518
Pacific,2,All,5,200.000000,3,13,139,21691113,0.187500,0.978873,0.019355,0.019354
Pacific,2,All,5,250.000000,2,14,43,21691113,0.125000,0.955556,0.033898,0.033898
Pacific,2,All,5,300.000000,1,15,23,21691113,0.062500,0.958333,0.025641,0.025641
Pacific,2,All,5,350.000000,0,16,13,21691113,0.000000,1.000000,0.000000,-0.000000
Pacific,2,All,5,400.000000,0,16,4,21691113,0.000000,1.000000,0.000000,-0.000000
Pacific,2,All,5,450.000000,0,16,2,21691113,0.000000,1.000000,0.000000,-0.000000
Pacific,2,All,5,500.000000,0,16,1,21691113,0.000000,1.000000,0.000000,-0.000000
