Region Name,Region N,Season Name,Season N,TH,hits,misses,false alarms,correct negatives,POD,FAR,CSI,ETS
MidWest,1,JJA,1,1.000000,259,10,12359,5186716,0.962825,0.979474,0.020510,0.020459
MidWest,1,JJA,1,1.500000,254,15,9672,5186716,0.944238,0.974411,0.025551,0.025500
MidWest,1,JJA,1,2.000000,248,21,7366,5186716,0.921933,0.967428,0.032482,0.032432
MidWest,1,JJA,1,2.500000,243,26,6821,5186716,0.903346,0.965600,0.034274,0.034224
MidWest,1,JJA,1,5.000000,222,47,4608,5186716,0.825279,0.954037,0.045520,0.045471
MidWest,1,JJA,1,7.500000,209,60,3778,5186716,0.776952,0.947580,0.051643,0.051595
MidWest,1,JJA,1,10.000000,194,75,3067,5186716,0.721190,0.940509,0.058153,0.058106
MidWest,1,JJA,1,15.000000,178,91,2500,5186716,0.661710,0.933532,0.064283,0.064236
MidWest,1,JJA,1,25.000000,150,119,1686,5186716,0.557621,0.918301,0.076726,0.076681
MidWest,1,JJA,1,30.000000,147,122,1489,5186716,0.546468,0.910147,0.083618,0.083574
MidWest,1,JJA,1,40.000000,126,143,1194,5186716,0.468401,0.904545,0.086124,0.086082
MidWest,1,JJA,1,50.000000,105,164,938,5186716,0.390335,0.899329,0.086993,0.086952
MidWest,1,JJA,1,75.000000,76,193,694,5186716,0.282528,0.901299,0.078920,0.078882
MidWest,1,JJA,1,100.000000,58,211,509,5186716,0.215613,0.897707,0.074550,0.074515
MidWest,1,SON,2,1.000000,124,9,4035,5435159,0.932331,0.970185,0.029750,0.029727
MidWest,1,SON,2,1.500000,118,15,2953,5435159,0.887218,0.961576,0.038237,0.038214
MidWest,1,SON,2,2.000000,108,25,2136,5435159,0.812030,0.951872,0.047598,0.047575
MidWest,1,SON,2,2.500000,107,26,1936,5435159,0.804511,0.947626,0.051716,0.051693
MidWest,1,SON,2,5.000000,92,41,1259,5435159,0.691729,0.931902,0.066092,0.066070
MidWest,1,SON,2,7.500000,79,54,1027,5435159,0.593985,0.928571,0.068103,0.068082
MidWest,1,SON,2,10.000000,75,58,846,5435159,0.563910,0.918567,0.076609,0.076588
MidWest,1,SON,2,15.000000,68,65,693,5435159,0.511278,0.910644,0.082324,0.082304
MidWest,1,SON,2,25.000000,55,78,457,5435159,0.413534,0.892578,0.093220,0.093201
MidWest,1,SON,2,30.000000,53,80,421,5435159,0.398496,0.888186,0.095668,0.095649
MidWest,1,SON,2,40.000000,45,88,353,5435159,0.338346,0.886935,0.092593,0.092574
MidWest,1,SON,2,50.000000,40,93,280,5435159,0.300752,0.875000,0.096852,0.096835
MidWest,1,SON,2,75.000000,32,101,211,5435159,0.240602,0.868313,0.093023,0.093008
MidWest,1,SON,2,100.000000,28,105,167,5435159,0.210526,0.856410,0.093333,0.093319
MidWest,1,DJF,3,1.000000,19,23,253,2545214,0.452381,0.930147,0.064407,0.064393
MidWest,1,DJF,3,1.500000,13,29,157,2545214,0.309524,0.923529,0.065327,0.065313
MidWest,1,DJF,3,2.000000,7,35,106,2545214,0.166667,0.938053,0.047297,0.047285
MidWest,1,DJF,3,2.500000,7,35,94,2545214,0.166667,0.930693,0.051471,0.051459
MidWest,1,DJF,3,5.000000,2,40,58,2545214,0.047619,0.966667,0.020000,0.019990
MidWest,1,DJF,3,7.500000,2,40,45,2545214,0.047619,0.957447,0.022989,0.022980
MidWest,1,DJF,3,10.000000,2,40,37,2545214,0.047619,0.948718,0.025316,0.025309
MidWest,1,DJF,3,15.000000,0,42,31,2545214,0.000000,1.000000,0.000000,-0.000007
MidWest,1,DJF,3,25.000000,0,42,17,2545214,0.000000,1.000000,0.000000,-0.000005
MidWest,1,DJF,3,30.000000,0,42,17,2545214,0.000000,1.000000,0.000000,-0.000005
MidWest,1,DJF,3,40.000000,0,42,16,2545214,0.000000,1.000000,0.000000,-0.000005
